tag,view count,up votes,has accept answer,created time,post id,post title,stage,reason category
android androidx ,54791,90,true,2018-10-19 05:07:41,52882606,Error inflating class androidx.constraintlayout.ConstraintLayout after migration to androidx,Runtime,reference wrong class
android android-layout androidx android-architecture-navigation ,51427,57,true,2018-09-26 14:18:16,52511136,How to set title in app bar with Navigation Architecture Component,Runtime,API wrong usage
android androidx ,41430,114,true,2018-08-10 16:49:11,51782548,AndroidX:Appcompat I:art error android.view.View$OnUnhandledKeyEventListener,Runtime,version bug
android android-recyclerview preview androidx android-tools-namespace ,40581,10,true,2018-08-04 23:43:46,51687173,How to use androidx.recyclerview.widget.RecyclerView with tools:listitem?,Runtime,API wrong usage
android android-layout androidx ,31281,84,true,2018-11-24 21:50:28,53458821,Why is my FloatingActionButton icon black?,Runtime,API wrong usage
android androidx android-workmanager ,22101,37,true,2018-10-05 09:40:09,52657196,Android Work Manager: &quot;Could not instantiate Worker&quot;,Runtime,version bug
android material-design android-theme floating-action-button androidx ,20503,89,false,2018-11-19 05:25:18,53365618,Android FAB icon always black with MaterialComponents theme,Runtime,API wrong usage
android android-edittext material-design android-textinputlayout androidx ,19248,12,false,2018-11-20 16:29:13,53388926,OutlinedBox for TextInputEditText is not working,Runtime,API wrong usage
android androidx ,35703,43,true,2019-09-11 17:15:23,57885849,"in androidx.fragment.app.Fragment，setUserVisibleHint（）is Deprecated，and not executed,why？",Runtime,API wrong usage
android android-architecture-components kotlin-android-extensions androidx ,32145,17,true,2019-01-25 14:34:55,54360091,Required lifecycle owner found Activity,Runtime,API wrong usage
java android illegalstateexception androidx android-workmanager ,21822,28,true,2019-04-27 05:36:34,55875198,IllegalStateException: WorkManager is already initialized,Runtime,API wrong usage
android android-activity android-support-library androidx ,21633,75,true,2019-03-21 00:34:51,55265834,Change Locale not work after migrate to Androidx,Runtime,version bug
android androidx android-navigationview ,20887,15,true,2019-07-08 16:49:53,56931348,Error inflating class com.google.android.material.navigation.NavigationView after migration to AndroidX,Runtime,API wrong usage
android androidx android-jetpack android-architecture-navigation ,17463,12,true,2019-06-10 00:06:51,56516207,"OnBackPressedCallback is being called, but app is not going back",Runtime,API wrong usage
android androidx ,15962,11,false,2019-02-15 08:27:08,54701090,Cannot invoke observe on a background thread,Runtime,API wrong usage
android android-toolbar androidx ,15068,1,false,2019-07-04 22:50:57,56890382,Not show androidx.appcompat.widget.Toolbar,Runtime,API wrong usage
androidx onbackpressed ,14927,6,true,2019-09-08 05:13:44,57837514,Androidx OnBackPressedDispatcher - how to consume the back button press,Runtime,API wrong usage
android android-theme android-styles androidx android-fonts ,12899,18,false,2019-10-28 22:39:25,58592939,android - fontFamily not working on androidx,Runtime,API wrong usage
android android-constraintlayout androidx ,12120,11,true,2019-01-16 15:46:19,54212402,Can&#39;t inflate ConstraintLayout,Runtime,dependency misuse
android kotlin androidx android-jetpack android-jetpack-navigation ,11908,2,false,2019-06-26 21:58:05,56774596,androidx.navigation.fragment.NavHostFragment is not accessible from xml file,Runtime,API wrong usage
android material-design androidx ,11662,48,true,2019-02-15 19:28:14,54708366,addFontWeightStyle NoSuchMethodException on TextView,Runtime,version bug
android androidx ,11071,10,false,2019-01-23 14:40:14,54321352,Error inflating class after migration to androidx,Runtime,reference wrong class
android android-cardview androidx ,10683,4,true,2019-07-01 20:44:06,56835962,cardBackgroundColor and cardCornerRadius not working in AndroidX,Runtime,dependency misuse
android android-studio androidx android-jetpack android-jetpack-navigation ,10266,12,true,2019-07-15 00:13:48,57029081,androidx Navigation: Too many arguments for @NonNull public open fun,Runtime,API wrong usage
android android-fragments androidx android-jetpack android-viewmodel ,9597,7,true,2019-11-09 09:31:04,58775611,SavedStateProvider with the given key is already registered,Runtime,API wrong usage
android android-lifecycle androidx ,8470,6,true,2019-06-20 23:03:21,56688851,android.app.Application cannot be cast to LifecycleOwner,Runtime,API wrong usage
java android androidx ,8125,3,false,2019-01-31 03:26:36,54448118,App crushes when add style to TextInputLayout in androidx,Runtime,version bug
android kotlin androidx android-navigation android-architecture-navigation ,8122,13,true,2019-06-18 18:52:22,56647476,Why Dialog does not have a NavController [Missing]?,Runtime,API wrong usage
android android-architecture-components androidx android-jetpack android-jetpack-navigation ,7606,6,true,2019-09-24 11:19:15,58072616,Androidx - How to handle Nested Graph&#39;s fragments from parent fragment using Navigation?,Runtime,API wrong usage
android-fragments permissions androidx registerforactivityresult ,18700,33,true,2020-09-14 14:48:29,63879320,Update to androidx.fragment:fragment:1.3.0-alpha08: registerForActivityResult not allowed after onCreate anymore. How to use after onCreate?,Runtime,API wrong usage
android security androidx encrypted-shared-preference ,14650,46,false,2020-08-26 20:12:13,63597398,AndroidX Security EncryptedSharedPreferences v1.1.0 /w API 21 issue,Runtime,API wrong usage
android android-fragments androidx fragmentmanager deprecation-warning ,9470,14,false,2020-02-04 12:59:38,60050865,androidx getFragmentManager() has been deprecated,Runtime,API wrong usage
android androidx dagger-hilt ,7882,24,true,2020-06-13 11:46:22,62355282,Android WorkManager Worker can not be injected using Dagger Hilt `@WorkerInject`,Runtime,API wrong usage
android material-design android-cardview androidx material-components-android ,7348,6,true,2020-01-30 06:58:20,59976836,strokeColor and strokeWidth not working in androidx.cardview.widget.CardView android,Runtime,API wrong usage
android webview android-appcompat androidx ,6861,15,false,2020-01-03 09:13:42,59572065,Error inflating class android.webkit.WebView on android 5,Runtime,version bug
android androidx android-navigation ,5159,4,true,2020-12-12 03:55:20,65257798,Attempt to invoke virtual method &#39;androidx.navigation.NavGraph androidx.navigation.NavDestination.getParent()&#39; on a null object reference,Runtime,API wrong usage
android kotlin androidx material-components-android android-annotations ,5554,5,true,2021-04-26 15:56:03,67262816,Kotlin issue when trying to cast &quot;attachBadgeDrawable&quot;: This declaration is opt-in,Runtime,API wrong usage
java android android-studio navigation-drawer androidx ,2510,0,true,2021-06-10 00:10:53,67907908,com.google.android.material.navigation.NavigationView cannot be cast to androidx.drawerlayout.widget.DrawerLayout (Android Studio),Runtime,API wrong usage
android android-fragments navigation-drawer androidx android-navigationview ,1357,1,true,2021-01-29 05:37:12,65945587,Navigate from fragment to another using NavController,Runtime,API wrong usage
android android-camera androidx android-camerax ,1285,5,true,2021-03-11 16:29:13,66578828,Android CameraX Error retrieving camcorder profile params,Runtime,version bug
xamarin xamarin.forms xamarin.android android-support-library androidx ,1246,1,true,2021-04-13 21:03:01,67075448,Xamarin AndroidX Migration: Crash on App Startup (System.InvalidCastException: AndroidX.AppCompat.Widget.Toolbar),Runtime,API wrong usage
android androidx firebase-mlkit firebase-machine-learning ,1231,0,true,2021-04-01 00:15:03,66891483,inputImage.getByteBuffer() is null when using AndroidX Camera with MLKit,Runtime,API wrong usage
android android-fragments androidx android-architecture-navigation ,1092,0,true,2021-03-19 10:31:04,66701756,handleOnBackPressed not working on one fragment,Runtime,API wrong usage
android androidx ,782,0,true,2021-08-17 19:34:06,68816612,Android - MaterialCardView not displaying on API level 27 devices,Runtime,API wrong usage
java android android-fragments androidx ,780,0,true,2021-02-09 23:50:45,66122400,Android crashes trying to build fragments,Runtime,API wrong usage
android kotlin androidx android-viewpager2 ,554,1,true,2021-09-29 04:36:46,69368198,Delete Item in Android ViewPager2,Runtime,API wrong usage
android androidx android-dark-theme android-darkmode ,514,1,true,2021-01-09 03:25:11,65635236,Android icons and radio buttons not following day/night mode,Runtime,API wrong usage
android icons androidx ,494,1,true,2021-02-28 23:27:19,66410669,How do you tint an androidx Preference icon?,Runtime,API wrong usage
android android-xml androidx android-preferences ,418,1,true,2021-03-04 14:57:23,66470029,How to use numbers in EditText Preference androidx?,Runtime,API wrong usage
android android-studio camera androidx android-camera2 ,317,0,true,2021-09-10 18:37:03,69130951,androidx camera2 video capture with flash,Runtime,API wrong usage
android android-viewpager androidx android-tablayout android-viewpager2 ,277,1,true,2021-07-22 21:27:08,68485678,"FragmentStateAdapter crashes, throwing java.lang.IllegalStateException",Runtime,API wrong usage
android androidx ,240,0,true,2021-09-02 14:41:59,69025308,When I migrated to AndroidX I am getting java.lang.RuntimeException: Unable to start activity ComponentInfo,Runtime,dependency conflicts
android android-room androidx ,169,1,true,2021-05-08 05:05:23,67441668,androidx room multiple MATCH,Runtime,version bug
android android-fragments navigation navigation-drawer androidx ,107,0,true,2021-07-15 13:56:11,68388626,"NavHostFragment: Navigation icons at Toolbar not working (ie Menu, NavigationUp icons)",Runtime,API wrong usage
android android-studio android-recyclerview androidx ,97,0,true,2021-11-19 04:00:30,70025992,RecyclerView: buggy scroll effect (Android),Runtime,API wrong usage
android android-layout listview androidx android-coordinatorlayout ,95,1,true,2021-04-25 18:23:14,67252282,A ListView overlaps a SearchView in a CoordinatorLayout,Runtime,API wrong usage
android xamarin xamarin.android android-listview androidx ,85,0,true,2021-04-24 00:27:39,67233700,A ListView is not displaying any data on OnCreate/OnStart after AndroidX migration,Runtime,API wrong usage
android-layout layout scrollview androidx cardview ,31,1,true,2021-05-27 02:04:02,67710415,Android : scroll view causing issue while displaying,Runtime,API wrong usage
android kotlin mvvm viewmodel androidx ,4669,1,false,2022-04-05 05:10:37,71743753,Android ViewModel - &quot;by activityViewModels&quot; called before &quot;by viewModels&quot;,Runtime,API wrong usage
android customization androidx bottomnavigationview android-bottomnav ,627,2,true,2022-08-17 15:52:17,73384717,Change size of only one icon of bottom navigation view (Android),Runtime,API wrong usage
android permissions uri androidx android-contentresolver ,427,2,true,2022-08-07 05:41:31,73263455,How to grant permanent permission on Uri images (androidx),Runtime,API wrong usage
android kotlin android-room androidx ,363,2,true,2022-05-30 20:34:03,72434420,Using kotlin.UByte for Room Entity not working,Runtime,version bug
android androidx android-gridlayout ,294,0,true,2022-05-25 23:04:52,72380088,AndroidX GridLayout: incorrect layout when cell content changes,Runtime,API wrong usage
kotlin wear-os androidx watch-face-api android-wear-complication ,280,1,true,2022-08-21 19:50:26,73434143,Androidx wearos watchface set default complication data source,Runtime,API wrong usage
android xamarin xamarin.android androidx ,134,1,true,2022-09-14 05:05:12,73709149,Using a DialogFragment as a Navgraph destination in Xamarin.Android,Runtime,version bug
java android android-recyclerview androidx ,119,1,true,2022-01-04 22:19:52,70580202,Android RecyclerView is showing nothing,Runtime,API wrong usage
android kotlin navigation androidx bottomnavigationview ,59,0,true,2022-11-10 18:21:02,74387394,BottomNavigationView does not respond to clicks,Runtime,API wrong usage
android android-appcompat androidx ,68,-2,true,2023-01-06 21:21:16,75031487,how I can update SearchView?,Runtime,dependency misuse
android androidx android-jetpack-navigation android-bottomnavigationview ,45,1,true,2023-04-09 21:42:04,75970881,Cannot resolve method &#39;setupWithNavController(NavController)&#39;,Runtime,API wrong usage
android androidx android-preferences switchpreference switchpreferencecompat ,22,0,true,2023-03-07 20:23:33,75661935,SwitchPreferenceCompat wrong &quot;off&quot; color on real device,Runtime,version bug
android android-appbarlayout androidx ,70209,37,false,2019-02-05 11:42:59,54527441,"After migrating to AndroidX, Error inflating class android.support.design.widget.AppBarLayout",Runtime,reference wrong class
android android-toolbar android-appbarlayout androidx ,25763,9,true,2019-03-22 19:35:24,55298742,ANDROID: Error inflating class android.support.design.widget.AppBarLayout,Runtime,reference wrong class
java android androidx video-capture android-camerax ,86,0,true,2023-02-27 18:11:40,75579125,How to get savedUri after capture video in CameraX?,Runtime,API wrong usage
androidandroidxandroid-jetpack-navigationandroid-bottomnavigationview,66,1,true,2023-04-09 13:42:21,75970881,Cannot resolve method 'setupWithNavController(NavController)',Runtime,API wrong usage
android kotlin androidx ,53403,22,true,2018-11-16 14:53:52,53332832,Unresolved reference. None of the following candidates is applicable because of receiver type mismatch,Build,API wrong usage
android kotlin android-databinding androidx ,7293,8,true,2019-02-26 06:27:35,54875667,Android Binding Adapter is not found,Build,API wrong usage
android androidx android-workmanager ,10340,28,true,2020-01-13 11:42:57,59710362,"WorkManager - Should we remove the default initializer, when we use both Default initialization and Custom initialization?",Build,API wrong usage
android gradle android-gradle-plugin android-manifest androidx ,762,-1,true,2021-01-15 01:19:36,65723792,"AndroidX androidx.core.content.FileProvider added into manifest give error on manifest ; Manifest merger failed with multiple errors, see logs",Build,API wrong usage
android androidx android-workmanager ,10340,28,true,2020-01-13 11:42:57,59710362,"WorkManager - Should we remove the default initializer, when we use both Default initialization and Custom initialization?",Build,API wrong usage
java android android-gradle-plugin android-manifest androidx ,103325,85,false,2018-11-13 03:29:51,53268865,"Android X: tools:replace specified at line: for attribute, but no new value specified",Build,build properties
android refactoring androidx ,51053,34,true,2018-06-04 16:15:39,50676100,Program type already present: android.support.v4.os.ResultReceiver$MyResultReceiver,Build,build properties
android android-studio androidx android-studio-3.2 android-jetifier ,44558,43,true,2018-08-11 09:37:37,51795731,Failed to transform file &#39;some-lib-release.aar&#39; to match attributes {artifactType=processed-aar} using transform JetifyTransform,Build,build properties
android android-gradle-plugin android-support-library android-room androidx ,29614,21,true,2018-07-12 01:40:08,51291407,"Androidx modules, android:attr/ttcIndex &amp; android:attr/fontVariationSettings not found",Build,build properties
android android-gradle-plugin android-databinding androidx android-studio-3.2 ,28075,13,true,2018-09-25 07:13:49,52488520,Data-Binding fails with &quot;couldn&#39;t make a guess&quot;,Build,build properties
android androidx ,23584,22,true,2018-12-20 02:25:48,53857191,Could not set unknown property &#39;useAndroidX&#39; for object of type com.android.build.gradle.internal.dsl.BaseAppModuleExtension,Build,build properties
android androidx mdc-components ,21227,24,true,2018-06-24 12:33:17,51006967,AndroidX Build Fails in Release Mode regarding appComponentFactory,Build,build properties
android androidx android-jetpack kotlin-android-extensions android-viewmodel ,108997,140,true,2019-06-25 14:52:12,56748334,how to get viewModel by viewModels? (fragment-ktx),Build,build properties
android android-studio android-gradle-plugin libraries androidx ,98583,87,true,2019-04-19 12:31:10,55756647,Duplicate classes from androidx and com.android.support,Build,build properties
android android-manifest androidx ,97144,75,true,2019-03-18 17:19:07,55217992,Manifest merger failed : Attribute application@appComponentFactory - Androidx,Build,build properties
android user-interface androidx android-jetpack-compose ,42377,36,true,2019-11-04 19:46:59,58692811,Error when adding buildFeatures in build.gradle file,Build,build properties
android react-native gradle android-gradle-plugin androidx ,23441,27,true,2019-06-24 18:42:13,56734877,Getting library &quot;libjsc.so&quot; not found after upgrading React Native to 0.60-RC2,Build,build properties
android gradle android-gradle-plugin androidx ,21008,15,true,2019-01-25 14:19:31,54359909,ERROR: [TAG] Failed to resolve variable &#39;${project.version}&#39;,Build,build properties
android androidx ,13099,4,false,2019-09-14 09:05:43,57931730,Why &quot;Android resource linking failed&quot; error appears when i lower the Target SDK from 28 to 27?,Build,build properties
android android-fragments android-support-library android-appcompat androidx ,8038,8,false,2019-08-31 00:41:04,57730448,How to fix Android resource linking failed dialogCornerRadius not found,Build,build properties
java android androidx zoom-sdk ,28156,9,true,2020-05-04 19:24:57,61591089,&#39;android.useAndroidX&#39; property is not enabled,Build,build properties
flutter dart androidx flutter-dependencies build-error ,11806,0,false,2020-06-08 17:47:29,62259315,Flutter: Build Error: Execution failed for task &#39;:app:processDebugResources&#39;,Build,build properties
android build.gradle androidx android-gradle-3.0 androidx-test ,6140,2,true,2020-08-03 18:44:14,63227992,Android Issue::More than one file was found with OS independent path &#39;androidsupportmultidexversion.txt&#39; &quot;error&quot;,Build,build properties
android gradle android-databinding androidx ,4254,4,false,2020-08-15 14:01:42,63423088,App crashes (Databinding Error) after AndroidX Migration,Build,build properties
android android-studio android-databinding androidx android-studio-arctic-fox ,499,9,true,2021-08-06 21:08:19,68682115,Failed to instantiate one or more classes: java.lang.ClassNotFoundException: androidx.databinding.DataBinderMapperImpl,Build,build properties
android android-studio androidx ,340,0,true,2021-10-28 17:44:29,69751796,Cannot create Apk from Build&gt;&gt;Build Bundle(s) /APK(s)&gt;&gt;Build Apk(s) after Migrating project to Android X,Build,build properties
android butterknife androidx android-jetifier ,102128,126,true,2018-11-27 00:07:59,53484988,The given artifact contains a string literal with a package reference &#39;android.support.v4.content&#39; that cannot be safely rewritten. for androidx,Build,build tool
android-studio androidx android-architecture-navigation ,58229,83,true,2018-12-25 17:50:11,53921194,Plugin with id &#39;androidx.navigation.safeargs&#39; not found,Build,build tool
android react-native androidx android-jetifier ,32103,29,true,2018-11-10 10:27:38,53235525,Issues using AndroidX and React Native,Build,build tool
android androidx android-jetifier ,21767,11,true,2019-04-23 22:50:06,55813882,androidX jetifier - Is there a way to ignore jetifying a .JAR?,Build ,build tool
android android-fragments android-testing androidx ,17004,49,true,2019-06-12 17:23:37,56558775,launchFragmentInContainer unable to resolve Activity in Android,Build,build tool
android android-studio android-support-library androidx android-jetifier ,4253,1,true,2020-04-13 07:05:56,61179356,AndroidX Jetifier unable/failed to transform 3rd-party transitive dependency that still use Support Library,Build,build tool
android flutter android-studio gradle androidx ,1921,2,true,2021-12-19 21:33:55,70411897,Flutter: Execution failed for task &#39;:app:checkDebugAarMetadata&#39;. Could not resolve all files for configuration &#39;:app:debugRuntimeClasspath&#39;,Build,build tool
android module android-room androidx clean-architecture ,139,1,true,2021-05-22 16:27:31,67647508,How to include Room persistence library in java-library?,Build,build tool
cordova gradle ionic-framework androidx ,524,2,true,2022-04-26 00:40:48,72002939,How to resolve ionic Cordova &amp; Angular &quot;minCompileSdk (31) specified in a dependency&#39;s AAR metadata&quot;,Build,build tool
android android-studio gradle androidx ,35709,14,true,2018-08-19 21:46:08,51918301,Program type already present: android.support.v4.app.INotificationSideChannel$Stub$Proxy,Build,dependency conflicts
gradle chat androidx ,189815,190,false,2019-04-30 03:39:49,55909804,Duplicate class android.support.v4.app.INotificationSideChannel found in modules classes?,Build,dependency conflicts
java android android-support-library android-appcompat androidx ,42128,6,true,2019-09-10 17:55:07,57868282,Cannot resolve symbol &#39;ActivityCompat&#39; and &#39;content&#39;,Build,dependency conflicts
android androidx bottomnavigationview material-components material-components-android ,27137,24,true,2019-09-07 05:58:55,57828955,BottomNavigationView using androidx,Build,dependency conflicts
java firebase gradle build.gradle androidx ,8172,10,true,2019-06-19 19:44:57,56666925,Manifest merger failed : Attribute application@appComponentFactory updating Firebase libraries,Build,dependency conflicts
android dependencies classpath androidx bottom-sheet ,17569,36,true,2020-06-09 23:13:48,62285843,Cannot access &#39;androidx.lifecycle.HasDefaultViewModelProviderFactory&#39; which is a supertype of &#39;FavoriteBottomDialogFragment&#39;. Check your module cla,Build,dependency conflicts
java android android-studio duplicates androidx ,3793,3,true,2022-01-02 01:17:57,70550502,Duplicate class androidx.lifecycle.DefaultLifecycleObserver in modules in Android Studio app (Java),Build,dependency conflicts
android gradle androidx ,651,0,true,2022-05-09 14:01:02,72167546,Found duplicate class androidx / support?,Build,dependency conflicts
android kotlin gradle android-fragments androidx ,418,0,true,2022-11-30 16:26:51,74624788,Wrong version of androidx.fragment:fragment used,Build,dependency conflicts
android android-multidex androidx ,29850,26,true,2018-11-16 19:09:21,53336676,AndroidX MultiDex not found,Build,dependency misuse
android android-support-library android-fileprovider androidx ,27551,16,true,2018-10-08 14:30:40,52696574,Didn&#39;t find class &quot;androidx.core.content.FileProvider&quot;,Build,dependency misuse
android android-gradle-plugin androidx ,70117,54,true,2019-04-14 23:35:56,55677041,How to access RecyclerView in androidx?,Build,dependency misuse
android dependencies androidx ,53652,26,true,2019-08-23 11:34:45,57619574,android x design dependency,Build,dependency misuse
android testing kotlin android-espresso androidx ,20961,30,true,2019-02-21 22:28:24,54809410,Unresolved reference ActivityTestRule for AndroidX,Build,dependency misuse
android kotlin androidx ,19772,38,true,2019-04-24 05:12:58,55819499,androidx.lifecycle.DefaultLifecycleObserver not found,Build,dependency misuse
java android navigation-drawer androidx ,19472,11,true,2019-02-25 19:58:02,54865710,DrawerLayout in AndroidX is Missing?,Build,dependency misuse
android androidx android-textinputlayout ,16152,27,true,2019-03-17 05:43:41,55201776,Why attribute app:endIconMode is not found in TextInputLayout?,Build,dependency misuse
android gradle androidx cardview ,16014,4,true,2019-04-19 20:03:17,55761551,How to fix : ERROR: Failed to resolve: &#39;androidx.cardview:cardview:1.0.0&#39;,Build,dependency misuse
java android androidx material-components-android material-components ,14496,8,true,2019-07-31 11:55:36,57282947,Cannot resolve symbol Theme.MaterialComponents.Light.NoActionBar (Android Studio),Build,dependency misuse
android androidx android-jetpack navigationcontroller ,14424,9,false,2019-03-02 18:23:05,54957472,Android : `androidx.navigation.NavArgs` not found,Build,dependency misuse
java android android-support-library androidx material-components-android ,12971,7,false,2019-09-16 20:17:00,57956756,ERROR: Failed to resolve: androidx.appcompat:design:1.1.0,Build,dependency misuse
android viewmodel androidx android-mvvm ,11460,16,true,2019-03-15 15:13:23,55177386,Unable to get provider androidx.lifecycle.ProcessLifecycleOwnerInitializr,Build,dependency misuse
android material-design androidx android-support-design material-components-android ,10755,6,true,2019-09-07 23:19:59,57835034,com.android.support:design:28.0.0 - Version 28 is the last version of the legacy support library,Build,dependency misuse
android kotlin androidx android-jetpack android-architecture-components ,10294,12,true,2019-01-03 19:32:00,54021453,Type mismatch: inferred type is LoginActivity but LifecycleOwner was expected,Build,dependency misuse
androidx ,9531,2,true,2019-04-04 15:50:52,55510583,Failed to resolve: androidx,Build,dependency misuse
android android-gradle-plugin androidx ,9062,6,true,2019-04-08 18:00:57,55570829,"Cannot find version of &#39;androidx.arch&#39;, &#39;androidx.room&#39;, etc",Build,dependency misuse
android androidx ,7298,9,true,2019-06-05 17:06:47,56457402,error: cannot find symbol class MediaStyle after migrating to androidx,Build,dependency misuse
android mvvm viewmodel androidx viewmodelproviders ,46047,46,true,2020-01-29 00:03:52,59952673,How to get an Instance of ViewModel in activity in 2020/21?,Build,dependency misuse
android android-gradle-plugin android-appcompat androidx ,29338,34,true,2020-05-06 04:15:48,61622254,AndroidX ActivityResultContracts package not found / class not found,Build,dependency misuse
android android-fragments androidx ,17518,17,true,2020-08-25 06:46:20,63569647,setFragmentResult and setFragmentResultListener packages not found (Unresolved reference),Build,dependency misuse
android android-studio android-activity androidx ,11194,16,true,2020-04-23 15:24:45,61381545,Cannot access &#39;androidx.activity.result.ActivityResultCaller&#39;,Build,dependency misuse
android kotlin android-jetpack-compose androidx ,8789,17,true,2021-02-28 21:46:39,66409744,The compose compiler plugin you are using (version 1.0.0-alpha13) expects a minimum runtime version of 1.0.0-alpha13,Build,dependency misuse
android androidx kotlin-extension kotlin-flow android-ktx ,8391,21,false,2021-08-05 02:19:19,68656266,Cannot resolve symbol repeatOnLifecycle in Android,Build,dependency misuse
android encryption androidx ,2273,4,true,2021-05-03 04:27:04,67360824,Unresolved reference: MasterKey,Build,dependency misuse
android android-gradle-plugin androidx android-r8 ,1151,0,true,2021-02-01 01:03:31,65981871,Missing class: androidx.paging.PositionalDataSource,Build,dependency misuse
android android-studio dependencies android-jetpack-compose androidx ,1727,7,true,2022-06-30 04:52:10,72807725,NoClassDefFoundError: Could not initialize class androidx.customview.poolingcontainer.PoolingContainer,Build,dependency misuse
android kotlin androidx aar ,15455,40,true,2023-03-09 20:05:55,75684382,Issues were found when checking AAR metadata: androidx.core:core:1.12.0-alpha01 and androidx.core:core-ktx:1.12.0-alpha01,Build,dependency misuse
android androidx ,113238,72,true,2018-11-01 02:10:17,53089633,How to add cardview in layout xml in AndroidX,Build,reference wrong class
android junit android-testing androidx ,88665,329,true,2018-10-12 17:40:58,52776716,AndroidJUnit4.class is deprecated: How to use androidx.test.ext.junit.runners.AndroidJUnit4?,Build,reference wrong class
java android android-studio androidx ,58402,85,true,2018-05-31 20:36:54,50624510,ClassNotFoundException: Didn&#39;t find class &quot;android.support.v4.content.FileProvider&quot; after androidx migration,Build,reference wrong class
android androidx bottom-sheet material-components-android ,46370,101,true,2018-07-31 23:37:51,51617186,BottomSheetBehavior not in androidX libraries,Build,reference wrong class
android android-fragments androidx ,45291,34,false,2018-09-10 19:36:54,52256959,FragmentManager and androidx FragmentManager,Build,reference wrong class
android android-studio gradle android-appcompat androidx ,40682,26,true,2018-11-13 19:24:45,53279989,With API 28 and &quot;androidx.appcompat&quot; library project says &quot;AppCompatActivity&quot; symbol not found,Build,reference wrong class
android textview android-support-library androidx android-snackbar ,21969,95,true,2018-10-18 19:35:50,52873056,Can&#39;t resolve android.support.design. after migration to AndroidX,Build,reference wrong class
android android-support-library android-toolbar android-appcompat androidx ,24882,16,false,2019-07-09 19:14:07,56951323,Can&#39;t use android.support.v7.widget.Toolbar with android.useAndroidX=true,Build,reference wrong class
java android imageview androidx ,18887,3,true,2019-04-07 22:52:50,55560268,package androidx.appcompat.widget does not exist Android Studio,Build,reference wrong class
android kotlin androidx android-studio-3.2 ,16504,44,true,2019-01-14 19:26:33,54180598,java.lang.IllegalStateException: SimpleTypeImpl should not be created for error type,Build,reference wrong class
android android-layout android-viewpager androidx ,10184,9,true,2019-07-16 13:59:23,57050888,java.lang.ClassNotFoundException: Didn&#39;t find class &quot;androidx.core.view.ViewPager&quot; on path,Build,reference wrong class
android xml layout dependencies androidx ,9862,4,true,2019-02-17 17:03:03,54731643,AndroidX dependencies and XML causing crash,Build,reference wrong class
java android android-studio navigation-drawer androidx ,9240,3,true,2019-08-14 17:37:45,57492085,AndroidX Navigation Drawer,Build,reference wrong class
android material-design searchview androidx ,8179,4,true,2019-08-14 03:24:29,57484148,androidx.appcompat.widget.SearchView cannot be cast to android.widget.SearchView,Build,reference wrong class
android android-support-library android-appcompat androidx appcompatactivity ,8171,1,true,2019-08-18 23:33:04,57546020,&quot;package android.support.v7.app does not exist&quot; error in androidStudio,Build,reference wrong class
java android androidx android-navigationview material-components-android ,7365,1,true,2019-10-09 03:28:32,58292869,how fix Error inflating class android.support.design.widget.NavigationView,Build,reference wrong class
android androidx android-constraintlayout ,7240,6,false,2019-02-19 10:11:36,54757911,After migrating to androidx: Didn&#39;t find class &quot;androidx.constraintlayout.ConstraintLayout&quot; on path: DexPathList,Build,reference wrong class
android android-gradle-plugin build.gradle androidx ,13571,5,true,2020-01-02 21:53:06,59564526,Cannot resolve symbol &#39;annotation&#39; in Android Studio?,Build,reference wrong class
android android-support-library androidx drawerlayout ,5448,2,true,2020-10-16 20:11:50,64388975,&quot;Cannot resolve class android.support.v4.widget.DrawerLayout&quot; even after adding dependencies in gradle,Build,reference wrong class
xamarin xamarin.forms xamarin.android androidx ,376,1,true,2021-12-21 13:01:29,70430871,The Java type `javax.inject.Inject` is generated by more than one managed type. Please change the [Register] attribute,Build,reference wrong class
xamarin.android androidx ,1532,0,true,2022-04-28 11:43:48,72037777,Error CS0246 The type or namespace name &#39;Androidx&#39; could not be found (are you missing a using directive or an assembly reference?),Build,reference wrong class
android junit junit4 androidx ,34749,61,true,2018-10-18 19:42:00,52873173,Migrating Junit4 tests to androidx: What causes &#39;delegate runner could not be loaded&#39;?,Build,version bug
android android-studio proguard androidx ,10218,24,true,2019-08-22 12:02:54,57601897,android studio 3.5 Warning: The rule `-keep public class * extends androidx.versionedparcelable.VersionedParcelable { &lt;init&gt;(); }` uses extends,Build,version bug
android androidx payumoney ,9680,15,true,2019-08-21 17:41:31,57588753,AAPT: error: resource android:attr/android:progressBarStyleSmall not found,Build,version bug
android android-gradle-plugin android-room androidx ,7628,22,true,2019-03-17 19:29:18,55206536,Note: Failed to read get kotlin metadata for [Ljava.lang.Object;@79d6c4df,Build,version bug